rank,word,similarity
261,motorcycle,0.39607407
262,dolphin,0.39593713
263,equerry,0.39561886
264,acock,0.39522912
265,horseshoed,0.39484685
266,track,0.39461855
267,chukkar,0.39352107
268,tiger,0.39350926
269,stang,0.39348416
270,jennet,0.39314069
271,trotted,0.39241497
272,pet,0.39241062
273,hogmane,0.39229973
274,haft,0.39201748
275,bheesty,0.39196818
276,giddap,0.39134517
277,cross,0.39127389
278,carriole,0.39023649
279,havocker,0.39019883
280,markhor,0.39017976
281,bole,0.39006478
282,hearse,0.38995152
283,perissodactyl,0.38984579
284,bovine,0.38981034
285,barnyard,0.38980501
286,bucko,0.38959083
287,wheel,0.38952830
288,moo,0.38938082
289,whore,0.38937157
290,mahout,0.38912836
291,rocket,0.38905692
292,calesa,0.38895745
293,carousal,0.38841939
294,foin,0.38815822
295,ship,0.38793020
296,bucking,0.38767588
297,hod,0.38739388
298,racetracker,0.38723174
299,wolf,0.38688819
300,charro,0.38605699
301,highbred,0.38592249
302,prancing,0.38548644
303,steeplechaser,0.38539979
304,ostrich,0.38522914
305,roughrider,0.38521544
306,hartebeest,0.38512320
307,stabling,0.38485602
308,postillion,0.38457344
309,sport,0.38445796
310,wagonette,0.38443887
311,hooflike,0.38425111
312,waggon,0.38391008
313,hopple,0.38380905
314,coon,0.38367797
315,mongoose,0.38343870
316,hondle,0.38330386
317,shoeing,0.38272344
318,harl,0.38256280
319,wag,0.38255986
320,horseradish,0.38249722
321,foxhound,0.38249171
322,elk,0.38222634
323,unridable,0.38212766
324,farrier,0.38211806
325,hyrax,0.38202772
326,bus,0.38199190
327,polo,0.38178653
328,cavalletti,0.38172780
329,farm,0.38158320
330,hour,0.38144153
331,tortoise,0.38134744
332,hawse,0.38092674
333,cabestro,0.38087150
334,superstock,0.38082071
335,vaquero,0.38073262
336,jockette,0.38070403
337,maned,0.38056970
338,zebu,0.38055063
339,foaling,0.38024207
340,hotel,0.38019957
341,buckboard,0.38016623
342,canter,0.38001620
343,wolfhound,0.37991851
344,corral,0.37988306
345,cowhide,0.37987129
346,caroche,0.37980258
347,fish,0.37979106
348,hornpipe,0.37940867
349,boarding,0.37937929
350,hogshead,0.37937216
351,shetland,0.37923116
352,bittock,0.37907970
353,course,0.37858947
354,sorrel,0.37853953
355,porker,0.37842792
356,foxhunt,0.37825581
357,roan,0.37811468
358,hay,0.37809401
359,piaffer,0.37805027
360,shoe,0.37785574
361,boarish,0.37724686
362,doll,0.37707298
363,historic,0.37698818
364,leopard,0.37695605
365,barrel,0.37692278
366,whinniest,0.37689075
367,boss,0.37659064
368,burgonet,0.37654775
369,ponied,0.37633362
370,grasshopper,0.37619396
371,hunt,0.37618787
372,astride,0.37614191
373,heehaw,0.37606812
374,steeplechase,0.37603588
375,stud,0.37589666
376,horste,0.37588661
377,shoed,0.37577716
378,handcar,0.37570604
379,ungulate,0.37565581
380,cat,0.37536713
381,buckskin,0.37534022
382,rodeoed,0.37531115
383,paddock,0.37520009
384,ranchero,0.37519463
385,barouche,0.37505834
386,stagecoach,0.37497681
387,hump,0.37496806
388,yard,0.37479069
389,dromedary,0.37477278
390,bicycle,0.37464994
391,husky,0.37462115
392,coachman,0.37461853
393,caballero,0.37450282
394,traction,0.37445472
395,bareback,0.37442136
396,trail,0.37440859
397,broncho,0.37419550
398,dressage,0.37404111
399,halter,0.37397560
400,haw,0.37392238
401,huge,0.37381070
402,racing,0.37380806
403,argalis,0.37365676
404,hoar,0.37344943
405,homo,0.37342535
406,clop,0.37326012
407,giraffe,0.37319848
408,raft,0.37308252
409,prance,0.37280134
