rank,word,similarity
282,textless,0.39146543
283,tea,0.39127115
284,interesting,0.39126913
285,prep,0.39105107
286,tattoo,0.39104177
287,stuff,0.39084376
288,ink,0.39066578
289,stylized,0.39053503
290,mural,0.39029140
291,ornament,0.39019318
292,curtest,0.39015175
293,arcking,0.39013223
294,life,0.38976299
295,cubism,0.38973820
296,agog,0.38924093
297,airy,0.38921045
298,trad,0.38916287
299,health,0.38905702
300,smart,0.38901448
301,dart,0.38888798
302,adroitness,0.38879694
303,teat,0.38867970
304,chemical,0.38867584
305,dada,0.38866118
306,arista,0.38863409
307,modern,0.38855806
308,genre,0.38855774
309,pet,0.38848593
310,etude,0.38836719
311,archive,0.38831755
312,experimental,0.38806894
313,software,0.38804959
314,video,0.38795731
315,assessment,0.38793358
316,good,0.38778336
317,rock,0.38776605
318,tut,0.38773139
319,practic,0.38769237
320,atom,0.38760732
321,history,0.38753358
322,any,0.38739791
323,atechnic,0.38732851
324,composing,0.38722547
325,pert,0.38718819
326,love,0.38708346
327,crime,0.38702056
328,expo,0.38688743
329,food,0.38680077
330,editing,0.38679956
331,tableaux,0.38657504
332,ass,0.38657456
333,futurism,0.38648176
334,pain,0.38629371
335,arm,0.38628878
336,constructed,0.38577101
337,made,0.38573331
338,wart,0.38562055
339,letter,0.38553400
340,eath,0.38549891
341,handwork,0.38546121
342,deco,0.38538653
343,anted,0.38532050
344,makeup,0.38521702
345,auction,0.38510177
346,want,0.38504787
347,orate,0.38468001
348,arnotto,0.38439124
349,care,0.38435241
350,earth,0.38415770
351,glass,0.38383385
352,apparat,0.38374917
353,formed,0.38349944
354,english,0.38347085
355,aestheticism,0.38333902
356,weatherglass,0.38322601
357,interaction,0.38319054
358,event,0.38317240
359,oft,0.38312871
360,handiwork,0.38306917
361,achievement,0.38304301
362,direction,0.38303772
363,graph,0.38298888
364,algorithm,0.38297945
365,irk,0.38292070
366,glasswork,0.38282946
367,op,0.38257215
368,sculpturally,0.38255750
369,angular,0.38249324
370,intro,0.38226293
371,ness,0.38222630
372,ax,0.38215653
373,structure,0.38212473
374,hardware,0.38209851
375,wark,0.38205032
376,acta,0.38183736
377,anatomy,0.38166506
378,wit,0.38163962
379,experiment,0.38140344
380,ait,0.38106474
381,cation,0.38101721
382,schtik,0.38081686
383,testing,0.38075825
384,airthing,0.38074761
385,psych,0.38067088
386,content,0.38060545
387,bepainting,0.38054068
388,yoga,0.38021216
389,punk,0.38007393
390,articling,0.37990602
391,instrument,0.37987905
392,graffito,0.37986677
393,amu,0.37984968
394,visualization,0.37953253
395,ceramic,0.37951404
396,album,0.37948714
397,recision,0.37938018
398,ware,0.37937372
399,attribute,0.37932472
400,spa,0.37929059
401,fit,0.37925785
402,method,0.37920798
403,mat,0.37917873
404,artificiality,0.37916032
405,paper,0.37910754
406,carving,0.37897301
407,fabric,0.37870240
408,working,0.37863337
409,cat,0.37852900
410,curacy,0.37849293
411,acrylic,0.37848378
412,fancywork,0.37831595
413,tapestry,0.37825767
414,karn,0.37819336
415,articulative,0.37814647
416,stagecraft,0.37806264
417,element,0.37801867
418,arcked,0.37801852
419,utility,0.37800955
420,construction,0.37787294
421,tutorial,0.37784817
422,designing,0.37777004
423,articulacy,0.37772019
424,airport,0.37762771
425,aspect,0.37762735
426,inter,0.37761697
427,arithmetic,0.37760420
428,glitz,0.37759157
429,aero,0.37737883
430,collaging,0.37733736
431,antick,0.37730591
432,apperception,0.37728149
433,language,0.37727824
434,folk,0.37709305
435,signature,0.37708902
436,tart,0.37704628
437,typography,0.37698702
438,exercise,0.37698625
439,creativeness,0.37694385
440,academism,0.37683842
441,fart,0.37681875
442,concert,0.37670876
443,dancing,0.37659434
444,process,0.37655501
445,dadaism,0.37654616
446,arrant,0.37652148
447,jazz,0.37646482
448,background,0.37645887
449,stylised,0.37644987
450,eurythmy,0.37642796
451,aristo,0.37639282
452,nonmusic,0.37636974
453,business,0.37636740
454,seeing,0.37631881
455,story,0.37628013
456,development,0.37626086
457,car,0.37622811
458,precision,0.37608542
459,product,0.37606052
460,vert,0.37603527
461,animated,0.37581567
462,styled,0.37566541
463,ask,0.37566094
464,demo,0.37566047
465,etch,0.37561672
466,theme,0.37551691
467,ardour,0.37519359
468,crap,0.37511879
469,party,0.37502675
470,accuracy,0.37499409
471,extra,0.37499257
472,keramic,0.37487537
473,all,0.37485032
474,galleria,0.37480834
475,profession,0.37473964
476,done,0.37468174
477,workshop,0.37460781
478,artless,0.37457328
479,arcane,0.37453933
480,artemisia,0.37452854
481,hard,0.37441479
482,material,0.37429063
483,particle,0.37426763
484,archil,0.37411681
485,function,0.37386466
486,interactive,0.37375655
487,knowledge,0.37364864
488,advertisement,0.37364024
489,play,0.37360647
490,space,0.37353987
491,unartful,0.37336082
492,pix,0.37331995
493,time,0.37321337
494,kitsch,0.37320104
495,doc,0.37316834
496,rad,0.37316463
497,spait,0.37313821
498,park,0.37308162
499,poster,0.37307093
500,pol,0.37305487
501,tarot,0.37301774
502,auto,0.37299556
503,articulate,0.37296377
504,tile,0.37281832
505,imagery,0.37279140
506,actin,0.37249765
507,sculpturesque,0.37242910
508,decoration,0.37242773
509,journal,0.37242711
510,animi,0.37239591
511,pic,0.37221262
512,trade,0.37216014
513,quality,0.37211644
514,alar,0.37208633
515,fine,0.37208218
516,speech,0.37187386
517,marc,0.37187218
518,piecing,0.37180786
519,perform,0.37172767
520,lettering,0.37169888
521,architectural,0.37157868
522,chart,0.37156023
523,programming,0.37133827
524,review,0.37133417
525,objet,0.37105737
526,baroque,0.37101052
527,syntax,0.37100095
528,project,0.37099170
529,massage,0.37094570
530,being,0.37093388
531,archaeology,0.37060139
532,cast,0.37058698
533,an,0.37057738
534,here,0.37045569
535,etching,0.37045546
536,decorate,0.37042145
537,tate,0.37039729
538,dawt,0.37036497
539,lite,0.37023291
540,avatar,0.37019660
541,react,0.37002826
542,jewelry,0.36996730
543,woodcut,0.36995625
544,aware,0.36994540
545,grammar,0.36969711
546,argotic,0.36960229
547,masterpiece,0.36952165
548,rasing,0.36948475
549,shot,0.36942829
550,intent,0.36932755
551,gift,0.36925216
552,tarting,0.36903186
553,ret,0.36902909
554,arbor,0.36900178
555,clay,0.36867007
556,urtext,0.36859929
557,digital,0.36834839
558,reaction,0.36832859
559,into,0.36829689
560,ball,0.36822663
561,pictorial,0.36822131
562,angle,0.36821680
563,department,0.36814351
564,great,0.36808411
565,theorem,0.36798536
566,think,0.36798212
567,onus,0.36797835
568,arietta,0.36796993
569,shtik,0.36793423
570,ani,0.36790826
571,create,0.36788453
572,mathematic,0.36785818
573,painter,0.36783767
574,museum,0.36783095
575,fancy,0.36783088
576,fruit,0.36779096
577,playing,0.36778513
578,lecture,0.36775455
579,fantasy,0.36764807
580,attack,0.36755847
581,fair,0.36743173
582,attempt,0.36739193
583,airted,0.36732693
584,architect,0.36726812
585,note,0.36725934
586,out,0.36717450
587,creatively,0.36700688
588,presentation,0.36679141
589,category,0.36673285
590,atomic,0.36663328
591,entertainment,0.36654341
592,bar,0.36652994
593,aesthetical,0.36651555
594,stylising,0.36649467
595,artificer,0.36648239
596,hair,0.36646062
597,cur,0.36645969
